District,rtla-12,rtla-14,rtla-16,rtla-18,rtla-20,rtla-trend,r-margin-12,r-margin-14,r-margin-16,r-margin-18,r-margin-20,Inflection
State Senate 4,0.753273798,-13.28449271,4.507984767,13.14551543,23.99120187,7.290586429,0.321844723,#N/A,0.387858087,#N/A,0.272472716,42.49000434
State Senate 10,5.492641219,-3.379753745,15.37221781,20.09470825,30.84292146,6.734622094,0.734512098,#N/A,0.323849326,#N/A,0.182298657,58.59126285
State Senate 12,12.85719023,1.939575919,19.82409972,22.33493951,32.53583165,5.544710981,0.679356558,#N/A,0.752970873,#N/A,0.205726513,76.34083867
State Senate 23,32.08250605,25.49046068,34.27759092,37.18761237,40.77883948,2.693342458,0.124334295,#N/A,0.159139538,#N/A,0.102798986,48.58873944
State Senate 8,34.54963444,30.03882742,38.49096291,43.00957486,44.94845036,2.800069506,0.066998976,#N/A,0.097091151,#N/A,0.011656282,45.18789621
State Senate 35,59.24908661,47.27947939,47.73757587,43.90102367,41.5298583,-3.209272647,0.023565931,#N/A,0.239145842,#N/A,0.202466739,65.0114573
State Senate 27,32.50584653,29.35986609,40.56550667,47.68758468,51.70748934,5.019944603,0.096344742,#N/A,0.068716882,#N/A,-0.106075227,49.69753701
State Senate 19,51.39844892,47.58820287,53.47211581,57.63716844,58.87989962,2.111657615,-0.00769961,0.010554804,-0.018074205,#N/A,-0.183417357,50.01174261
State Senate 25,63.64957265,55.17694269,60.83144552,58.9430687,59.62709814,-0.339163027,-0.150812111,#N/A,0.041487741,#N/A,0.016770772,62.24050909
State Senate 26,53.64257977,49.23602253,58.94129315,62.4264144,64.75133368,2.937053901,-0.08172097,#N/A,-0.069520752,#N/A,-0.237556485,46.15179527
State Senate 14,56.62276432,58.05887317,63.93705441,69.40159716,68.73078123,2.940200186,-0.221727617,#N/A,-0.23332323,#N/A,-0.333060032,36.82650405
State Senate 28,64.46607769,58.30587736,66.70767912,69.13104658,68.75730286,1.545605286,-0.198175154,#N/A,-0.114565982,#N/A,-0.238318267,48.27503978
State Senate 29,73.87457585,62.12618533,72.09917397,71.52204202,70.55629048,0.051670567,-0.222239545,#N/A,-0.148516582,#N/A,-0.686644092,36.93000612
State Senate 17,69.37675126,71.43151694,77.19437586,79.94246142,78.69353218,2.264664285,-0.292709229,#N/A,-1,#N/A,-0.357757589,41.51180081
State Senate 21,85.4918064,83.15071283,83.87418203,82.17413471,77.46210235,-1.973924645,-0.298515456,#N/A,-0.981846313,#N/A,-0.270967841,30.56504328
State Senate 31,96.64711704,98.19141493,99.63656207,100.7306743,95.87587121,-0.210364046,-0.39793099,#N/A,-0.391579682,#N/A,-0.534083634,53.26670654
State Senate 18,100.502483,107.0577916,112.6033279,111.3049712,106.3460809,-0.169882974,-0.566658044,#N/A,-0.592105109,#N/A,-0.658005177,45.92501961
State Senate 33,142.8943917,144.5639519,134.9316384,130.7129673,117.7876229,-8.543417617,-0.68760418,#N/A,-0.639032939,#N/A,-0.910054818,57.31481976
State Senate 1,-14.69306167,-30.90967092,-17.10937285,-19.90295443,-6.738616794,4.090996833,#N/A,0.852963689,#N/A,0.580273393,#N/A,46.25554144
State Senate 9,-21.04889828,-29.20326463,-8.429145133,-1.54319407,14.36204636,9.415195149,#N/A,1,#N/A,0.406371442,#N/A,39.09395013
State Senate 2,12.70427252,3.456093509,13.24148203,14.85657336,21.45668826,2.806115366,#N/A,0.749219864,#N/A,0.306355008,#N/A,61.93507702
State Senate 7,9.793423234,3.567607983,12.18786804,15.24880098,20.26057249,3.017288165,#N/A,0.411403915,#N/A,0.272380208,#N/A,43.59741066
State Senate 30,10.79800348,2.957494527,18.88135874,26.76911026,35.16424925,6.77791407,#N/A,0.287220708,#N/A,0.112224064,#N/A,34.83554096
State Senate 6,30.20544166,23.39436857,32.60311419,36.46450513,37.68114792,2.385679218,#N/A,1,#N/A,0.093865968,#N/A,45.85110195
State Senate 15,30.99411845,25.82919106,33.48679489,37.17871424,40.45953428,2.704663092,#N/A,1,#N/A,0.061871191,#N/A,43.36583337
State Senate 13,39.04771526,26.72812838,39.72031914,37.60717722,41.39877738,1.465318106,#N/A,0.273166919,#N/A,0.205723936,#N/A,56.11219553
State Senate 5,45.65508199,42.97333664,50.02528697,53.70878481,53.75775829,2.156157217,#N/A,-0.023180401,#N/A,-0.208963634,#N/A,36.73385898
State Senate 16,46.08312942,44.25406967,50.5732274,54.97439165,56.73274583,2.785248822,#N/A,0.027348086,#N/A,-0.143845269,#N/A,49.61423066
State Senate 20,48.99492386,46.66469608,52.69384851,56.55168598,57.94667688,2.381125168,#N/A,-0.006125724,#N/A,-0.117770676,#N/A,45.41337101
State Senate 22,52.30867487,48.64305338,55.66049403,58.60708695,59.92338496,2.060457266,-0.051954558,-0.022384559,#N/A,-0.163167848,#N/A,45.26937289
State Senate 24,56.81306269,52.19184559,57.97708384,60.08209955,60.16058431,1.227097216,#N/A,0.017421061,#N/A,-0.125134177,#N/A,56.13697257
State Senate 11,61.46730206,55.3104562,62.55001451,65.58613713,62.94233908,0.690062871,#N/A,-0.106361746,#N/A,-0.239190534,#N/A,43.17068264
State Senate 3,101.7265873,94.40684785,87.99420172,85.24500787,74.14506636,-5.891919127,#N/A,-0.098741778,#N/A,-0.736158161,#N/A,48.08093092
State Senate 32,93.5979319,93.50134506,94.73720711,96.09269585,91.6012966,-0.345632093,-0.401313869,-0.331659733,#N/A,-0.486353262,#N/A,53.75309547
State Senate 34,113.4520797,115.3652133,110.4085872,109.2669045,101.0091325,-3.184866396,#N/A,-0.54813277,#N/A,-0.662697076,#N/A,51.77456657
